"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010761","BP","GO:0010761","fibroblast migration","7/675","58/22853",0.00154670330318559,0.0266925296976682,0.0223990190910722,"Tsc2/Dmtn/Plec/Ptk2/Lamtor2/Adipor2/Mta2",7
"GO:0072698","BP","GO:0072698","protein localization to microtubule cytoskeleton","7/675","58/22853",0.00154670330318559,0.0266925296976682,0.0223990190910722,"Apc/4933427D14Rik/Nin/Nsfl1c/Pcm1/Cep350/Golgb1",7
"GO:0021955","BP","GO:0021955","central nervous system neuron axonogenesis","6/675","43/22853",0.00156078241349156,0.0267481418663104,0.0224456860065434,"B4galt5/Nin/Ptk2/Epha4/Ephb1/Szt2",6
"GO:0021549","BP","GO:0021549","cerebellum development","10/675","110/22853",0.00156491569672859,0.0267481418663104,0.0224456860065434,"Psap/Ptprs/Nrxn1/Dab1/Ezh2/Ophn1/Cplane1/Rere/Atxn2/Samd4b",10
"GO:0048640","BP","GO:0048640","negative regulation of developmental growth","11/675","129/22853",0.00156780951879644,0.0267481418663104,0.0224456860065434,"Apc/Ptprs/Sema6a/Rtn4/Ptk2/Tcf7l2/Slit1/Sema6d/Gnas/Plxna3/Atxn2",11
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","25/675","442/22853",0.00159986183253575,0.0271915910704087,0.0228178061203364,"Tsc2/Mef2c/Sema6a/Sirt1/Rtn4/Evl/Dmtn/Plec/Ptk2/Map4k4/Fn1/Sema6d/Src/Lamtor2/Fbxw7/Macf1/Adipor2/Pik3c2a/Pik3r2/Ptprm/Rhoj/Clasp1/Phactr4/Mta2/Synj2bp",25
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","16/675","233/22853",0.00160937511318189,0.0272500608786685,0.0228668710222508,"Sipa1l2/Tsc2/Cul3/Git1/Rtn4/Shoc2/Map4k4/Ralgps2/Src/Auts2/Ophn1/Mapkap1/Ralgps1/Rapgef1/Madd/Nrg1",16
"GO:1900078","BP","GO:1900078","positive regulation of cellular response to insulin stimulus","5/675","30/22853",0.00171029300890445,0.0284492355878583,0.0238731577065368,"Sirt1/Sorbs1/Src/Myo5a/Opa1",5
"GO:1900024","BP","GO:1900024","regulation of substrate adhesion-dependent cell spreading","7/675","59/22853",0.00171100160962917,0.0284492355878583,0.0238731577065368,"Lims1/Dmtn/Dab2/Ptk2/Flna/Fermt2/Ap1ar",7
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","18/675","279/22853",0.00171189962307148,0.0284492355878583,0.0238731577065368,"Celf2/Rbfox1/Rbm25/Hnrnpl/Obi1/Acin1/Son/Paxbp1/Prpf40b/Celf4/Sf3b1/Fxr1/Tfip11/Rbm5/Ythdc1/Srpk2/Snrnp70/Fam172a",18
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","18/675","279/22853",0.00171189962307148,0.0284492355878583,0.0238731577065368,"Celf2/Rbfox1/Rbm25/Hnrnpl/Obi1/Acin1/Son/Paxbp1/Prpf40b/Celf4/Sf3b1/Fxr1/Tfip11/Rbm5/Ythdc1/Srpk2/Snrnp70/Fam172a",18
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","18/675","279/22853",0.00171189962307148,0.0284492355878583,0.0238731577065368,"Celf2/Rbfox1/Rbm25/Hnrnpl/Obi1/Acin1/Son/Paxbp1/Prpf40b/Celf4/Sf3b1/Fxr1/Tfip11/Rbm5/Ythdc1/Srpk2/Snrnp70/Fam172a",18
"GO:0045216","BP","GO:0045216","cell-cell junction organization","15/675","213/22853",0.00173778528866533,0.0286670683464755,0.0240559519255259,"Lims1/Numb/Ctnnd2/Mtss1/Plec/Epb41l3/Nedd4l/Epha4/Abi2/Add1/Flna/Fermt2/Camsap3/Afdn/Cldn34c1",15
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","15/675","213/22853",0.00173778528866533,0.0286670683464755,0.0240559519255259,"Cadm3/Ptprs/Nrcam/Nrxn1/Dab1/Tenm3/Cadm1/Atp2c1/Ptprm/Ptprf/Wnk1/Tenm2/Pcdh19/Taok2/Nrg1",15
"GO:0018394","BP","GO:0018394","peptidyl-lysine acetylation","13/675","171/22853",0.00175635949620048,0.0288671904380153,0.0242238842496524,"Kmt2a/Taf6l/Brd8/Kansl1/Sirt1/App/Meaf6/Phf14/Ing3/Auts2/Apbb1/Zzz3/Phf20l1",13
"GO:0031507","BP","GO:0031507","heterochromatin assembly","6/675","44/22853",0.00176278363717767,0.0288671904380153,0.0242238842496524,"Ezh1/Sirt1/Ezh2/Rif1/Fam172a/Setdb2",6
"GO:0006281","BP","GO:0006281","DNA repair","27/675","495/22853",0.00178923866291313,0.0291938686563318,0.0244980160659915,"Rpa1/Ube2a/Rpain/Sirt1/Smc6/Mta1/Dek/Gtf2h2/Rrm2b/Spire1/Trip12/Prrx1/Rad51/Dclre1b/Usp1/Cdc7/Smg1/Atrx/Hinfp/Usp3/Helq/Rif1/Nudt1/Apbb1/Slx4/Kmt5b/Gtf2i",27
"GO:0031110","BP","GO:0031110","regulation of microtubule polymerization or depolymerization","9/675","94/22853",0.00184971180811221,0.0300712205905778,0.025234245376115,"Apc/Git1/Nin/Camsap1/Dctn1/Bmerb1/Camsap3/Clip1/Clasp1",9
"GO:0030042","BP","GO:0030042","actin filament depolymerization","7/675","60/22853",0.00188853971993449,0.0304815745444103,0.0255785936319791,"Evl/Dmtn/Add3/Add1/Tmod2/Tpm1/Sptan1",7
"GO:0097479","BP","GO:0097479","synaptic vesicle localization","7/675","60/22853",0.00188853971993449,0.0304815745444103,0.0255785936319791,"Nrxn1/Dnm1/Nlgn3/Ap1s2/Dnm3/Madd/Syn3",7
"GO:0007097","BP","GO:0007097","nuclear migration","5/675","31/22853",0.00199026619135353,0.032008331184958,0.0268597704828205,"Ptk2/Slit1/Pcm1/Dctn1/Sun2",5
"GO:1903828","BP","GO:1903828","negative regulation of cellular protein localization","11/675","133/22853",0.00200120480711812,0.0320342454279642,0.026881516403136,"Gopc/Sirt1/Nin/Numb/Dmtn/Dab2/App/Nedd4l/Nsfl1c/Lyplal1/Tax1bp3",11
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","24/675","425/22853",0.00200615622136348,0.0320342454279642,0.026881516403136,"Fbxo7/Tsc2/Git1/Sirt2/Sirt1/Cnot2/Dab2/Mtdh/Ptk2/App/Arih1/Atg16l1/Fbxw7/Pik3c2a/Tmtc3/Sh3glb1/Smurf1/Dxo/Cop1/Tardbp/Tnrc6b/Rnf14/Hnrnpr/Samd4b",24
"GO:0001558","BP","GO:0001558","regulation of cell growth","25/675","450/22853",0.00203716878729728,0.0323144989543719,0.0271166909691831,"Tchp/Eif2b2/Ptprs/Sema6a/Sirt1/Rtn4/Itsn2/Dab2/Nubp1/Ptk2/Epb41l3/Nedd4l/Slit1/Fn1/Sema6d/Lamtor2/Macf1/Adipor2/Cyfip1/Plxna3/Sh3glb1/Smurf1/Eif4g1/Nrg1/Afdn",25
"GO:0032231","BP","GO:0032231","regulation of actin filament bundle assembly","10/675","114/22853",0.00204539029201947,0.0323144989543719,0.0271166909691831,"Evl/Mtss1/Flna/Pik3r2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Clasp1",10
"GO:0006896","BP","GO:0006896","Golgi to vacuole transport","4/675","19/22853",0.00205251441987876,0.0323144989543719,0.0271166909691831,"Vti1a/Ap1g1/Ap1g2/Sort1",4
"GO:0045217","BP","GO:0045217","cell-cell junction maintenance","4/675","19/22853",0.00205251441987876,0.0323144989543719,0.0271166909691831,"Mtss1/Fermt2/Camsap3/Afdn",4
"GO:0009791","BP","GO:0009791","post-embryonic development","11/675","134/22853",0.00212352293300113,0.0333155503509653,0.0279567226034047,"Kmt2a/Meg3/Tcf7l2/Gnas/Atrx/Slc37a4/Szt2/Tmtc3/Morc3/Ccdc66/Bcl11b",11
"GO:1901653","BP","GO:1901653","cellular response to peptide","19/675","308/22853",0.00215490154213042,0.0336900460611122,0.0282709804371924,"Tsc2/Apc/Fyn/Sirt1/Ptk2/App/Sorbs1/Epha4/Vim/Slc2a8/Src/Cyfip1/Nucb2/Pik3r2/Ptprf/Myo5a/Opa1/Mars1/Plcb1",19
"GO:0043393","BP","GO:0043393","regulation of protein binding","15/675","218/22853",0.00217775632840296,0.0339291411303613,0.0284716169104436,"Mark3/Dab2/Cblb/App/Mark2/Tcf7l2/Src/Add1/Tfip11/Aktip/Aplp2/Pkd1/Ptprf/Agrn/Styx",15
"GO:0000245","BP","GO:0000245","spliceosomal complex assembly","6/675","46/22853",0.00222556459040473,0.0345540080178063,0.0289959735562838,"Celf2/Celf4/Sf3b1/Rbm5/Ythdc1/Srpk2",6
"GO:0048593","BP","GO:0048593","camera-type eye morphogenesis","12/675","155/22853",0.00223362826223961,0.0345596207333418,0.0290006834629078,"Slc4a7/Scrib/Zeb1/Pou2f1/Abi2/Prom1/Tenm3/Ephb1/Ptprm/Ccdc66/Phactr4/Miat",12
"GO:1904951","BP","GO:1904951","positive regulation of establishment of protein localization","20/675","333/22853",0.00228171663166885,0.0347070839423663,0.0291244271197129,"Fyn/Sirt1/Sybu/App/Tcf7l2/Frmd4a/Src/Fbxw7/Asph/Cask/Flna/Pcm1/Pik3r2/Atp2c1/Exoc1/Tcaf1/Apbb1/Sh3glb1/Tardbp/Abat",20
"GO:0031124","BP","GO:0031124","mRNA 3'-end processing","7/675","62/22853",0.00228617105645501,0.0347070839423663,0.0291244271197129,"Zc3h14/Papola/App/Rprd1b/Rprd2/Cstf2/Ythdc1",7
"GO:0044380","BP","GO:0044380","protein localization to cytoskeleton","7/675","62/22853",0.00228617105645501,0.0347070839423663,0.0291244271197129,"Apc/4933427D14Rik/Nin/Nsfl1c/Pcm1/Cep350/Golgb1",7
"GO:0002028","BP","GO:0002028","regulation of sodium ion transport","9/675","97/22853",0.00229930688438076,0.0347070839423663,0.0291244271197129,"Sik1/Nedd4l/Gnas/Nkain4/Nedd4/Agrn/Wnk1/Plcb1/Klhl24",9
"GO:0007020","BP","GO:0007020","microtubule nucleation","5/675","32/22853",0.00230227984949685,0.0347070839423663,0.0291244271197129,"Git1/Nin/Dctn1/Tubgcp5/Clasp1",5
"GO:0031116","BP","GO:0031116","positive regulation of microtubule polymerization","5/675","32/22853",0.00230227984949685,0.0347070839423663,0.0291244271197129,"Apc/Git1/Nin/Dctn1/Clip1",5
"GO:0048011","BP","GO:0048011","neurotrophin TRK receptor signaling pathway","5/675","32/22853",0.00230227984949685,0.0347070839423663,0.0291244271197129,"Src/Cyfip1/Ptprf/Sh3glb1/Sort1",5
"GO:0007517","BP","GO:0007517","muscle organ development","21/675","357/22853",0.00230503922773015,0.0347070839423663,0.0291244271197129,"Mef2c/Usp19/Rbfox1/Tafazzin/Sirt2/Sirt1/Meg3/Mtss1/Plec/Paxbp1/Tcf7l2/Flnb/Vangl2/Fxr1/Ybx3/Disp1/Tpm1/Ephb1/Kmt5b/Nrg1/Chd2",21
"GO:0006888","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","10/675","116/22853",0.0023266704009269,0.0349156190266187,0.0292994192012516,"Lman2l/Cul3/Ergic3/Mia2/Yif1a/Vti1a/Sec23b/Nrbp1/Sec24c/Sec22c",10
"GO:0032386","BP","GO:0032386","regulation of intracellular transport","20/675","334/22853",0.00236196794950858,0.03532716729815,0.0296447696680428,"Nup214/Fyn/Ppp1r12a/Dmtn/Dab2/Tcf7l2/Arhgap1/Src/Fbxw7/Asph/Gripap1/Flna/Pcm1/Pik3r2/Nedd4/Nup54/Tcaf1/Sh3glb1/Tardbp/Ehd2",20
"GO:0098727","BP","GO:0098727","maintenance of cell number","13/675","177/22853",0.00238237774881426,0.0355140496974405,0.029801591912952,"Taf6l/Apc/Cnot2/Tcf7l2/Vangl2/Prrx1/Rtf1/Ezh2/Pcm1/Aspm/Rif1/Tead1/Miat",13
"GO:0120032","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","14/675","199/22853",0.0024610685689276,0.0365656114860204,0.0306840093100524,"Tchp/Apc/Evi5l/Evl/Dmtn/Nrxn1/Abi2/Fxr1/Auts2/Cyfip1/Map4/Dnm3/Agrn/Rhog",14
"GO:1900076","BP","GO:1900076","regulation of cellular response to insulin stimulus","8/675","80/22853",0.00248373411134032,0.036780577417769,0.0308643978331226,"Tsc2/Sirt1/Sorbs1/Src/Nucb2/Ptprf/Myo5a/Opa1",8
"GO:0010766","BP","GO:0010766","negative regulation of sodium ion transport","4/675","20/22853",0.00250627503505273,0.0368710035484643,0.0309402788624111,"Nedd4l/Nedd4/Agrn/Wnk1",4
"GO:0032252","BP","GO:0032252","secretory granule localization","4/675","20/22853",0.00250627503505273,0.0368710035484643,0.0309402788624111,"Sybu/Tcf7l2/Myo5a/Kif1b",4
"GO:0032868","BP","GO:0032868","response to insulin","16/675","244/22853",0.00256520038720896,0.0376145560045968,0.0315642304267164,"Tsc2/Apc/Sirt1/Sorbs1/Slc2a8/Src/Cyfip1/Nucb2/Pik3r2/Ptprf/Myo5a/Vps13c/Opa1/Mars1/Plcb1/Sort1",16
"GO:0021826","BP","GO:0021826","substrate-independent telencephalic tangential migration","3/675","10/22853",0.00263564692116706,0.037966010441779,0.0318591531911472,"Arl13b/Lhx6/Nrg1",3
"GO:0021843","BP","GO:0021843","substrate-independent telencephalic tangential interneuron migration","3/675","10/22853",0.00263564692116706,0.037966010441779,0.0318591531911472,"Arl13b/Lhx6/Nrg1",3
"GO:0050847","BP","GO:0050847","progesterone receptor signaling pathway","3/675","10/22853",0.00263564692116706,0.037966010441779,0.0318591531911472,"Ube3a/Src/Nedd4",3
"GO:0070142","BP","GO:0070142","synaptic vesicle budding","3/675","10/22853",0.00263564692116706,0.037966010441779,0.0318591531911472,"Dnm1/Ap1s2/Dnm3",3
"GO:0030838","BP","GO:0030838","positive regulation of actin filament polymerization","9/675","99/22853",0.00264442247925305,0.037966010441779,0.0318591531911472,"Evl/Bin1/Spire1/Abi2/Cyfip1/Fchsd2/Gmfb/Ctnna2/Ap1ar",9
"GO:0051642","BP","GO:0051642","centrosome localization","5/675","33/22853",0.00264839787570244,0.037966010441779,0.0318591531911472,"Sema6a/Nin/Nubp1/Aspm/Sun2",5
"GO:0120033","BP","GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","5/675","33/22853",0.00264839787570244,0.037966010441779,0.0318591531911472,"Tchp/Evi5l/Evl/Nrxn1/Map4",5
"GO:0030517","BP","GO:0030517","negative regulation of axon extension","6/675","48/22853",0.00277439893058684,0.0395197714334703,0.0331629907258451,"Ptprs/Sema6a/Rtn4/Slit1/Sema6d/Plxna3",6
"GO:0031062","BP","GO:0031062","positive regulation of histone methylation","6/675","48/22853",0.00277439893058684,0.0395197714334703,0.0331629907258451,"Kmt2a/Sirt1/Paxbp1/Rtf1/Auts2/Rif1",6
"GO:1903362","BP","GO:1903362","regulation of cellular protein catabolic process","16/675","247/22853",0.00289538122264524,0.0411125808418012,0.0344995957141973,"Usp19/Sirt2/Tlk2/Dab2/Ptk2/Arih1/Ube3a/Epha4/Fbxw7/Ophn1/Pkd1/Tmtc3/Smurf1/Cop1/Styx/Rnf14",16
"GO:0000209","BP","GO:0000209","protein polyubiquitination","16/675","248/22853",0.00301296370914311,0.0422320418738042,0.0354389907176516,"Cul3/Ube2a/Cdc27/Mgrn1/Nedd4l/Arih1/Ube3a/Rnf165/Trip12/Aktip/Nedd4/G2e3/Smurf1/Rnf146/Ttc3/Rnf14",16
"GO:0031290","BP","GO:0031290","retinal ganglion cell axon guidance","4/675","21/22853",0.0030244230588617,0.0422320418738042,0.0354389907176516,"Nrcam/Slit1/Ephb1/Ptprm",4
"GO:0043984","BP","GO:0043984","histone H4-K16 acetylation","4/675","21/22853",0.0030244230588617,0.0422320418738042,0.0354389907176516,"Kmt2a/Kansl1/Sirt1/Auts2",4
"GO:0050772","BP","GO:0050772","positive regulation of axonogenesis","9/675","101/22853",0.00302931812702727,0.0422320418738042,0.0354389907176516,"Eif2b2/Rtn4/Nin/Fn1/Macf1/Cyfip1/Plxna3/Trak1/Nrg1",9
"GO:0061842","BP","GO:0061842","microtubule organizing center localization","5/675","34/22853",0.00303069255256629,0.0422320418738042,0.0354389907176516,"Sema6a/Nin/Nubp1/Aspm/Sun2",5
"GO:1905476","BP","GO:1905476","negative regulation of protein localization to membrane","5/675","34/22853",0.00303069255256629,0.0422320418738042,0.0354389907176516,"Gopc/Numb/Dmtn/Dab2/Lyplal1",5
"GO:0034504","BP","GO:0034504","protein localization to nucleus","19/675","318/22853",0.00307058781355907,0.0425824463697434,0.035733032424565,"Nup214/Tsc2/Rpain/Fyn/Sirt1/App/Banp/Tor1aip1/Src/Flna/Arl2bp/Pik3r2/Nup54/Fermt2/Morc3/Ipo8/Tardbp/Sun2/Ing1",19
"GO:0016601","BP","GO:0016601","Rac protein signal transduction","6/675","49/22853",0.00308402749488758,0.0425824463697434,0.035733032424565,"Rtn4/Abi2/Auts2/Cyfip1/Garre1/Rhog",6
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","21/675","366/22853",0.00308948088617811,0.0425824463697434,0.035733032424565,"Lims1/Dmtn/Dab2/Ptk2/Sorbs1/Map4k4/Fn1/Src/Macf1/Cask/Flna/Ephb1/Phldb2/Fermt2/Limch1/Acer2/Srcin1/Camsap3/Taok2/Clasp1/Ap1ar",21
"GO:0060271","BP","GO:0060271","cilium assembly","20/675","342/22853",0.00309379931280061,0.0425824463697434,0.035733032424565,"Tchp/Evi5l/Asap1/Cep20/Arl13b/Ablim1/Vangl2/Flna/Pcm1/Dctn1/Map4/Cep350/2700049A03Rik/Bbs9/Cplane1/Dync2i1/Ccdc66/Bbs5/Wdr35/Ehd2",20
"GO:0098876","BP","GO:0098876","vesicle-mediated transport to the plasma membrane","11/675","141/22853",0.00316003709679709,0.0433611206523809,0.0363864564469441,"Gopc/Scrib/Rab14/Arhgap1/Macf1/Gripap1/Atp2c1/Exoc1/Rab11fip3/Lyplal1/Ehd2",11
"GO:0061951","BP","GO:0061951","establishment of protein localization to plasma membrane","7/675","66/22853",0.00327225385968113,0.0447640337450891,0.0375637100644396,"Gopc/Scrib/Macf1/Gripap1/Atp2c1/Lyplal1/Afdn",7
"GO:0045927","BP","GO:0045927","positive regulation of growth","19/675","320/22853",0.00328807849040299,0.0448437938797514,0.037630640730032,"Eif2b2/Mef2c/Sirt1/Rtn4/Itsn2/Ptk2/Nedd4l/Fn1/Macf1/Ybx3/Cyfip1/Sh3glb1/Smurf1/Sh3pxd2b/Agrn/Eif4g1/Plcb1/Nrg1/Afdn",19
"GO:0030307","BP","GO:0030307","positive regulation of cell growth","14/675","206/22853",0.00336693137394317,0.0457800638632818,0.0384163110832367,"Eif2b2/Sirt1/Rtn4/Itsn2/Ptk2/Nedd4l/Fn1/Macf1/Cyfip1/Sh3glb1/Smurf1/Eif4g1/Nrg1/Afdn",14
"GO:0061647","BP","GO:0061647","histone H3-K9 modification","6/675","50/22853",0.00341872534023077,0.0463438688870557,0.0388894277055349,"Kmt2a/Sirt1/Atrx/Rif1/Arid4b/Setdb2",6
"GO:0007026","BP","GO:0007026","negative regulation of microtubule depolymerization","5/675","35/22853",0.00345123847647059,0.0465824263719992,0.0390896130652625,"Apc/Camsap1/Bmerb1/Camsap3/Clasp1",5
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","9/675","103/22853",0.00345708669085709,0.0465824263719992,0.0390896130652625,"Tsc2/Fyn/Sirt1/Ptk2/Ube3a/Fn1/Nedd4/Ppp1r16b/Nrg1",9
"GO:0099111","BP","GO:0099111","microtubule-based transport","14/675","207/22853",0.00351612013359298,0.0468505290104122,0.0393145912214806,"Sybu/App/Dync1i2/Pcm1/Trak1/Myo5a/Arhgap21/Madd/Dpcd/Dync2i1/Sun2/Camsap3/Kif1b/Wdr35",14
"GO:0034454","BP","GO:0034454","microtubule anchoring at centrosome","3/675","11/22853",0.00354491484583285,0.0468505290104122,0.0393145912214806,"Nin/Pcm1/Dctn1",3
"GO:1902959","BP","GO:1902959","regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process","3/675","11/22853",0.00354491484583285,0.0468505290104122,0.0393145912214806,"App/Bin1/Epha4",3
"GO:1904779","BP","GO:1904779","regulation of protein localization to centrosome","3/675","11/22853",0.00354491484583285,0.0468505290104122,0.0393145912214806,"Apc/Nin/Nsfl1c",3
"GO:2000009","BP","GO:2000009","negative regulation of protein localization to cell surface","3/675","11/22853",0.00354491484583285,0.0468505290104122,0.0393145912214806,"Gopc/Nedd4l/Tax1bp3",3
"GO:2000601","BP","GO:2000601","positive regulation of Arp2/3 complex-mediated actin nucleation","3/675","11/22853",0.00354491484583285,0.0468505290104122,0.0393145912214806,"Abi2/Cyfip1/Fchsd2",3
"GO:0002040","BP","GO:0002040","sprouting angiogenesis","10/675","123/22853",0.0035644556049387,0.0468505290104122,0.0393145912214806,"Epn2/Sema6a/Rtn4/Fbxw7/Jak1/Pik3c2a/Pik3r2/Ppp1r16b/Rhoj/Synj2bp",10
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","10/675","123/22853",0.0035644556049387,0.0468505290104122,0.0393145912214806,"Ezh1/Sirt1/Mta1/Ezh2/Ythdc1/Rif1/Arid4b/Lrif1/Fam172a/Setdb2",10
"GO:0009611","BP","GO:0009611","response to wounding","26/675","495/22853",0.00357095630077133,0.0468505290104122,0.0393145912214806,"Git1/Ptprs/Rtn4/Evl/Dmtn/Plec/Scrib/Ptk2/Fn1/Epha4/Vangl2/Stxbp1/Gnas/Macf1/Adipor2/Cask/Flna/Neo1/Tpm1/Phldb2/Ptprf/Map2k4/Fermt2/Abat/Nrg1/Clasp1",26
"GO:1902254","BP","GO:1902254","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator","4/675","22/22853",0.00361116351443147,0.0471025892129477,0.0395261073779724,"Bcl2l12/Sirt1/Rrm2b/Sh3glb1",4
"GO:2001224","BP","GO:2001224","positive regulation of neuron migration","4/675","22/22853",0.00361116351443147,0.0471025892129477,0.0395261073779724,"Nsmf/Sema6a/Flna/Fbxo31",4
"GO:0032388","BP","GO:0032388","positive regulation of intracellular transport","13/675","186/22853",0.00365483683333063,0.0475340662932016,0.039888181091758,"Fyn/Dab2/Tcf7l2/Fbxw7/Asph/Flna/Pcm1/Pik3r2/Nedd4/Tcaf1/Sh3glb1/Tardbp/Ehd2",13
"GO:0032869","BP","GO:0032869","cellular response to insulin stimulus","14/675","208/22853",0.0036706596987028,0.0476018788094783,0.0399450859210828,"Tsc2/Apc/Sirt1/Sorbs1/Slc2a8/Src/Cyfip1/Nucb2/Pik3r2/Ptprf/Myo5a/Opa1/Mars1/Plcb1",14
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","18/675","300/22853",0.00372783929106131,0.0480691357034559,0.0403371842424928,"Epn2/Sema6a/Sirt1/Dab2/Nrxn1/Zeb1/Tcf7l2/Rnf165/Cyfip1/Cask/Nedd4/Neo1/Cd59a/Ptprf/Zfyve9/Sh3glb1/Smurf1/Tcf4",18
"GO:0140694","BP","GO:0140694","non-membrane-bounded organelle assembly","21/675","372/22853",0.00372811660904896,0.0480691357034559,0.0403371842424928,"Septin1/Mef2c/Cnot2/4933427D14Rik/Asap1/Plec/Src/G3bp2/Kntc1/Flna/Tmod2/Tpm1/Dhx30/Tubgcp5/Aspm/Haus6/Sh3pxd2b/Atxn2/Traf7/Cds2/Clasp1",21
"GO:0008333","BP","GO:0008333","endosome to lysosome transport","6/675","51/22853",0.00377970133797112,0.0484938451896476,0.0406935789340831,"Mgrn1/Bin1/Aktip/Trak1/Gprasp1/Sort1",6
"GO:0051098","BP","GO:0051098","regulation of binding","22/675","397/22853",0.00378357480336172,0.0484938451896476,0.0406935789340831,"Mark3/Sirt2/Hnrnpl/Sirt1/Dab2/Cblb/App/Mark2/Tcf7l2/Epha4/Src/Fbxw7/Add1/Tfip11/Aktip/Aplp2/Pkd1/Ptprf/Rsf1/Agrn/Eif4g1/Styx",22
"GO:0010001","BP","GO:0010001","glial cell differentiation","16/675","254/22853",0.00380428649582259,0.0484938451896476,0.0406935789340831,"Eif2b2/Sirt2/B4galt5/Rtn4/Plec/App/Bin1/Tcf7l2/Epha4/Vim/Dab1/Nlgn3/Hdac11/Nrg1/Afdn/Miat",16
"GO:0090150","BP","GO:0090150","establishment of protein localization to membrane","16/675","254/22853",0.00380428649582259,0.0484938451896476,0.0406935789340831,"Tsc2/Atad1/Fyn/Gopc/Dmtn/Scrib/Macf1/Arl6ip1/Gripap1/Atp2c1/Tcaf1/Sh3glb1/Lyplal1/Nacad/Clip1/Afdn",16
"GO:0030837","BP","GO:0030837","negative regulation of actin filament polymerization","7/675","68/22853",0.00387289650235419,0.0490895101866193,0.0411934308323548,"Evl/Dmtn/Add3/Add1/Tmod2/Tpm1/Sptan1",7
"GO:0032233","BP","GO:0032233","positive regulation of actin filament bundle assembly","7/675","68/22853",0.00387289650235419,0.0490895101866193,0.0411934308323548,"Evl/Mtss1/Flna/Tpm1/Fermt2/Limch1/Sh3pxd2b",7
"GO:0008045","BP","GO:0008045","motor neuron axon guidance","5/675","36/22853",0.00391210664971827,0.0493079284755221,0.0413767163987057,"Slit1/Rnf165/Epha4/Plxna3/Rhog",5
"GO:0031112","BP","GO:0031112","positive regulation of microtubule polymerization or depolymerization","5/675","36/22853",0.00391210664971827,0.0493079284755221,0.0413767163987057,"Apc/Git1/Nin/Dctn1/Clip1",5
"GO:0007041","BP","GO:0007041","lysosomal transport","9/675","105/22853",0.00393091748051769,0.0494062373531734,0.0414592122300215,"Psap/Mgrn1/Bin1/Aktip/Ap1g1/Nedd4/Trak1/Gprasp1/Sort1",9
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","19/675","326/22853",0.00401892129471166,0.050230918800477,0.0421512431349762,"Mcm3ap/Nup214/Tsc2/Rpain/Ppp1r12a/Tcf7l2/Flna/Pik3r2/Nedd4/Pkd1/Nup54/Ythdc1/Smurf1/Ipo8/Tardbp/Ing1/Styx/Ssb/Zc3h11a",19
"GO:0051169","BP","GO:0051169","nuclear transport","19/675","326/22853",0.00401892129471166,0.050230918800477,0.0421512431349762,"Mcm3ap/Nup214/Tsc2/Rpain/Ppp1r12a/Tcf7l2/Flna/Pik3r2/Nedd4/Pkd1/Nup54/Ythdc1/Smurf1/Ipo8/Tardbp/Ing1/Styx/Ssb/Zc3h11a",19
"GO:0016055","BP","GO:0016055","Wnt signaling pathway","24/675","449/22853",0.00403247500698934,0.0502603204343366,0.0421759154970786,"Pfdn5/Tsc2/Cul3/Apc/Depdc1b/Dab2/Ctnnd2/App/Mark2/Tcf7l2/Vangl2/Rtf1/Tbl1xr1/Src/Macf1/Pkd1/Aspm/Daam1/Fermt2/Rnf146/Rapgef1/Tax1bp3/Wnk1/Ppm1b",24
"GO:0043161","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","23/675","425/22853",0.00415158664851414,0.0516015769858253,0.0433014300677506,"Cul3/Usp19/Sirt2/Ube2a/Sirt1/Cdc27/Tlk2/Mta1/Dab2/Nedd4l/Arih1/Nsfl1c/Tbl1xr1/Fbxw7/Cul5/Nedd4/Man1b1/Smurf1/Cop1/Fbxo31/Styx/Rnf14/Fbxl12",23
"GO:0045814","BP","GO:0045814","negative regulation of gene expression, epigenetic","6/675","52/22853",0.00416817180934219,0.0516646047196641,0.0433543197499768,"Ezh1/Sirt1/Ezh2/Rif1/Fam172a/Setdb2",6
